state_index,bombs_0,bombs_1,bombs_2,bombs_3,bombs_4,bombs_5,bombs_6,bombs_7,bombs_8,bombs_9,coins_0,coins_1,coins_2,coins_3,coins_4,coins_5,coins_6,coins_7,coins_8,coins_9,tiles_0,tiles_1,tiles_10,tiles_11,tiles_12,tiles_13,tiles_14,tiles_15,tiles_16,tiles_17,tiles_18,tiles_19,tiles_2,tiles_20,tiles_21,tiles_22,tiles_23,tiles_24,tiles_3,tiles_4,tiles_5,tiles_6,tiles_7,tiles_8,tiles_9
0,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
1,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
2,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
3,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
4,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
5,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
6,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
7,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
8,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
9,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
10,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
11,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
12,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
13,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
14,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
15,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
16,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
17,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
18,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
19,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
20,1,1,1,1,2,1,2,0,3,0,4,6,6,6,3,4,5,6,2,8,1,4,1,1,2,1,1,4,1,4,1,4,1,1,2,1,3,1,1,1,1,2,2,4,4
21,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
22,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
23,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
24,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
25,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
26,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
27,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
28,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
29,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
30,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
31,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
32,2,2,1,1,1,1,1,2,1,2,5,4,4,6,6,6,7,3,4,5,1,1,1,4,1,4,1,4,1,1,1,1,1,3,4,4,1,1,3,4,4,2,1,1,3
